,Organization Name,Founders,Founding Date,Closing Date,Industry,Funding,HQ Location,Employees,About/Description,Slug,Crunchbase Img
194,SpringHill Entertainment,Maverick Carter,2015,2021,Media and Entertainment,"$100,000,000"," Burbank, California, United States",10-Jan,"They pride ourselves on incubating, developing, and producing work that speaks to a cross-cultural audience.",https://www.crunchbase.com/organization/springhill-entertainment,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1481538776/pbp2ikyptpicvy3gqycf.png"
195,Cult,Rishabh Telang,2015,," Fitness, Training","$2,979,201"," Bengaluru, Karnataka, India",10-Jan,Cult is a group of fitness centres that focuses on functional training and group classes.,https://www.crunchbase.com/organization/cult,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1459935285/fff2wmauvotavk4b7os8.png"
196,Vässla,Rickard Bröms,2016,," Electric Vehicle, Last Mile Transportation, Transportation","$13,756,256"," Stockholm, Stockholms Lan, Sweden",10-Jan,Vässla is an electric scooter. Born in Sweden.,https://www.crunchbase.com/organization/vessla,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/a4cqrf3ajcmhyzzy1fy9"
197,ActiView," Gil Asher, Matanel Libi, Tal Koelewyn",2016,," Human Resources, Machine Learning, Recruiting, Software","$16,500,000"," Lod, HaMerkaz, Israel",11-50,ActiView develops a virtual reality technology for assessing job applicants.,https://www.crunchbase.com/organization/actiview-9cb4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/fjzlzy30arqrbsdekpyc"
198,MixComm," Frank Lane, Harish Krishnaswamy",2017,," Information Technology, Wireless","$8,600,000"," Chatham, New Jersey, United States",11-50,MixComm is a wireless communications technology company.,https://www.crunchbase.com/organization/mixcomm,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/fvbiqh8ldjspirphhpg3"
199,Better Place," Quin Garcia, Shai Agassi",29-Oct-07,May-13," Automotive, Clean Energy, Electric Vehicle, Energy, Environmental Engineering","$925,000,000"," Palo Alto, California, United States",501-1000,Better Place develops and sells battery-charging and battery-switching services for electric cars.,https://www.crunchbase.com/organization/better-place,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397199310/c631aa62c243f1b9ff446c3ec7e80954.png"
200,Jana," Amy Spurling, Benjamin Olding, Nathan Eagle",2009,," Apps, Internet, Mobile","$93,675,008"," Boston, Massachusetts, United States",101-250,Jana enables free apps to be truly free in emerging markets.,https://www.crunchbase.com/organization/jana,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1455822192/uanh13hani8sbg6x3fvh.png"
201,Noveto Systems," Noam Babayoff, Tomer Shani",01-May-11,," 3D Technology, Audio, Automotive, Consumer Electronics, Lifestyle","$17,000,000"," Petah Tiqva, HaMerkaz, Israel",11-50,"Noveto Systems produces focussed audio solutions, creating Virtual Headphones - Headphones without Headphones",https://www.crunchbase.com/organization/noveto-systems,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1450160229/zaqh1hitzqyqzld5iryk.png"
202,MEMX,,2000,," Developer Tools, Education, Information Technology, Internet, Medical Device","$73,000,000"," Palo Alto, California, United States",10-Jan,MEMX is an online platform dedicated to providing educational material on MEMS technology.,https://www.crunchbase.com/organization/memx,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1495173700/sfbcabz2pxtm6le5zhtx.jpg"
203,HealthTell," Neal Woodbury, Stephen Albert Johnston",2010,," Biotechnology, Health Care, Health Diagnostics, Personal Health","$44,782,168"," San Ramon, California, United States",11-50,HealthTell provides the most accurate and affordable diagnostic platform for early detection and classification of complex diseases.,https://www.crunchbase.com/organization/healthtell,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1412628764/ht5tnbkhqt1o2eqfg09c.jpg"
204,Zepo,Nitin Purswani,01-Jun-11,," Consulting, E-Commerce, Internet, Logistics, Payments","$501,174"," Mumbai, Maharashtra, India",251-500,Zepo helps small business sell online easily. Anyone can open their online store using Zepo in 5 minutes.,https://www.crunchbase.com/organization/zepo-technologies-pvt-ltd,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397188496/11470dfe8ce4bed2fed6549280ae3443.png"
205,Pixie Technology," Amir Bassan-Eskenazi, Ofer Friedman",2011,2020," Information Technology, Internet of Things, Software","$24,500,000"," Los Altos, California, United States",11-50,Pixie Technology develops a location-aware sensor network platform designed for both consumers and businesses.,https://www.crunchbase.com/organization/pixie-technology,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1410797485/b6oexswzsu9txb3ljmsq.jpg"
206,Synereo," Anderson Mccutcheon, Dor Konforty",2014,," Computer, Content Delivery Network, Information Technology, Social Media, Social Network","$4,820,000"," Tel Aviv, Tel Aviv, Israel",10-Jan,Completely decentralized and distributed platform.,https://www.crunchbase.com/organization/synereo,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1462520895/bzbklm5aodidqcxe2a8l.png"
207,CryptoMove," Boris Burshteyn, Michael Burshteyn",2015,," Blockchain, Cloud Security, Cyber Security, Data Storage, Database, Enterprise Software, Internet of Things, Security, Software","$8,000,000"," Oakland, California, United States",11-50,"CryptoMove is a software platform that provides a secure distributed datastore for keys, files, streaming video, or any other type of data.",https://www.crunchbase.com/organization/cryptomove,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1482618286/ewscllcdkawpwygtsj9v.jpg"
208,System1 Biosciences,Sean Escola,2017,,Biotechnology,"$25,000,000"," San Francisco, California, United States",11-50,System1 Biosciences is a neurotherapeutics company.,https://www.crunchbase.com/organization/system1-biosciences,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/r3hghhlaassao7fhh4ge"
209,Perfect Price," Alexander Shartsis, Youngin Shin",01-Dec-13,," Analytics, Artificial Intelligence, Big Data, Software","$5,800,000"," Oakland, California, United States",11-50,Perfect Price provides AI-based price optimization,https://www.crunchbase.com/organization/perfect-price,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/s9f8ucg0fglxhw9jr3vd"
210,Teld New Energy,Yongguang Guo,04-Sep-14,," Automotive, Electric Vehicle, Energy, Transportation","�2,753,000,000"," Qingdao Shi, Shandong, China",251-500,Teld New Energy is an energy vehicle charging network operating company.,https://www.crunchbase.com/organization/teld-new-energy,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/a6a6669ed835709c40a9"
211,General Fluidics,,2014,2020," Health Care, Health Diagnostics","$6,650,000"," Waltham, Massachusetts, United States",11-50,General Fluidics is a vitro diagnostic company.,https://www.crunchbase.com/organization/general-fluidics,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/zotkhguqndfcvcvey3gd"
212,TerrAvion," Cornell Wright, Robert Morris",2013,," Agriculture, Developer Tools, Farming, Robotics","$10,000,000"," San Leandro, California, United States",11-50,TerrAvion provides high revisit rate aerial imagery for agriculture.,https://www.crunchbase.com/organization/terravion,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1489824706/umgzl8quk4xlz705zo4n.png"
213,Babycare,,2014,," Child Care, E-Commerce, Product Design","�1,000,000,000"," Shanghai, Shanghai, China",11-50,Babycare is an e-commerce platform providing products for new parents and children.,https://www.crunchbase.com/organization/babycare-shanghai,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/kmiip7kfgynidfjboigx"
214,Shopsy," Andy LeSavage, Billy Mauro, Chris Quinn, Kevin Chugh, Laura McCann, Lisa Morales-Hellebo, Rakshith Krishnappa, Steve Mu",2009,," E-Commerce, Ediscovery, Fashion, Mobile, Photo Sharing, Search Engine","$200,000"," San Francisco, California, United States",10-Jan,Shopsy is a mobile application that enables Instagram users to purchase products they discover on Instagram.,https://www.crunchbase.com/organization/shopsy,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397761362/1f24c27e5c62360d87f143a40cffecf6.png"
215,CloudCar," Albert Jordan, Bruce Leak",2011,," Automotive, Cloud Computing, Enterprise Software, Mobile, Natural Language Processing","$26,500,000"," Santa Clara, California, United States",51-100,CloudCar has built a comprehensive platform delivering cloud-based solutions to OEMS.,https://www.crunchbase.com/organization/cloudcar,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1470783647/jbanbizsgfq03pxekuwe.png"
216,Docity," James Cowan, Will Bewley",02-Feb-16,," Health Care, Hospital, Internet, mHealth, Personal Health","$500,000"," Orlando, Florida, United States",10-Jan,Docity is a telehealth company serving rural areas nationwide by bundling telehealth with cable and internet packages.,https://www.crunchbase.com/organization/docity,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/se376prdt7plltxs0mqf"
217,Spansive," John MacDonald, Lixin Shi",2015,2020," Consumer Electronics, Electronics","$14,400,000"," San Francisco, California, United States",11-50,Spansive is a company that delivers a wireless charger for consumers.,https://www.crunchbase.com/organization/pi-charging,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/hb97qaq2mytlnbj3rw8h"
218,PrettySecrets,Karan Behal,01-Oct-12,," E-Commerce, Lingerie, Retail","$8,000,000"," Mumbai, Maharashtra, India",51-100,"PrettySecrets is an online, Indian e-commerce website that offers a range of lingerie such as bras, panties, nightwear, swimwear, and more.",https://www.crunchbase.com/organization/pretty-secrets,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397191012/0ceb7d5ffb57af6ba8ea0037fab175e9.jpg"
219,Quaero," Dan Smith, Julie Baker, Naras Eechambadi, Robert Bales",08-Nov-13,," Analytics, Artificial Intelligence, Big Data, Data Integration, Database, Digital Media, Machine Learning, Marketing Automation, SaaS, Software","$4,100,000"," Charlotte, North Carolina, United States",51-100,"Empowering enterprises to integrate, discover and democratize their customer data",https://www.crunchbase.com/organization/quaero-corporation,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1454088813/v5diukcxc7wyyloctvsl.jpg"
220,Maxi Mobility,,01-May-11,," Developer Platform, Information Technology, Internet, Mobile, Transportation","$196,949,611"," Madrid, Madrid, Spain",1001-5000,Maxi Mobility is the parent company of Cabify,https://www.crunchbase.com/organization/maxi-mobility,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1461327583/b0wej67j3sbr9lar2kis.png"
221,Levels Beyond," Art Raymond, Danny Gold, Danny Gold, Dave Lamy",2007,," Digital Media, Software, Video","$10,499,992"," Denver, Colorado, United States",51-100,"Levels Beyond specializes in the fields of media management, media workflow, video library management, and video delivery.",https://www.crunchbase.com/organization/levels-beyond,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/pqq6ismbjrfhjxhcossk"
222,Seven Dreamers Laboratories,Shinichi Sakane,18-Jul-14,," Developer Tools, Health Care, Manufacturing, Medical, Product Design, Robotics","$104,031,339"," Tokyo, Tokyo, Japan",101-250,"Seven Dreamers Laboratories develops carbon tool, medical equipment with haute couture design, and a household laundry robot.",https://www.crunchbase.com/organization/seven-dreamers-laboratories-inc,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1489754294/dbmazpijorcgeuthrnzj.png"
223,Limelight Bio,Jean Bennett,2016,2021," Biopharma, Biotechnology, Health Care","$89,002,771"," Philadelphia, Pennsylvania, United States",11-50,"Limelight is building an industry-leading platform to develop technologies, advanced targets, and leading drug candidates.",https://www.crunchbase.com/organization/limelight-bio,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/sczekmjbjte3zqh3n2zi"
224,Brandable,Oliver Bogner,May-17,2021," Consumer, Manufacturing","$2,940,216"," Beverly Hills, California, United States",51-100,A next-generation consumer products studio that partners with expert influencers to help them build the next great consumer products brand.,https://www.crunchbase.com/organization/brandablela,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/au6lcbcah34n2msfz3oi"
225,Sonoma,Alykhan Karim,01-Feb-12,05-Apr-16," E-Commerce, Hospitality, Wine And Spirits","$2,100,000"," São Paulo, Sao Paulo, Brazil",51-100,Leading DTC wine e-commerce,https://www.crunchbase.com/organization/sonoma,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/qorxo3levdjdsnqodcgj"
226,RFRSH Entertainment," Jakob Kristensen, Nikolaj Nyholm",2014,," Events, Media and Entertainment, Sports","$54,866,784"," Copenhagen, Hovedstaden, Denmark",11-50,"RFRSH Entertainment mission is to deliver the greatest moments in esports - for the fans, the players and the brands.",https://www.crunchbase.com/organization/rfrsh-entertainment,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1482553227/animq70rk42et7pfnx1k.png"
227,Blue Pillar," Brad Witter, Eric Reichel, Joe Scoufis",01-Jan-06,10-Dec-19," Industrial, Industrial Automation, Internet of Things, Software","$42,676,028"," Indianapolis, Indiana, United States",11-50,Blue Pillar makes it fast and simple to deploy and maintain Industrial IoT connectivity.,https://www.crunchbase.com/organization/blue-pillar,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/fk3paorlzcdudirgudjg"
228,Betgenius,Mark Locke,2000,," Computer, Enterprise Software, Software","�10,000,000"," London, England, United Kingdom",251-500,Betgenius is the leading provider of sophisticated data-driven software.,https://www.crunchbase.com/organization/betgenius,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1497356820/aqdyc39ce6yb2pxdyee3.png"
229,PlayGame,,2018,," Cryptocurrency, Digital Entertainment, Gaming","$7,700,000"," Singapore, Central Region, Singapore",10-Jan,Play Game is a company that Powering Real Economy in the Gaming World.,https://www.crunchbase.com/organization/playgame,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/kplu6o5tts8kbq6hklea"
230,Hubble,,Apr-16,," Cloud Management, Information Technology, Legal Tech, Software","$1,407,565"," Tokyo, Tokyo, Japan",10-Jan,Cloud-based software specialized for contracts and other legal documents,https://www.crunchbase.com/organization/hubble-8329,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/mttabx22gni4s4shwv2u"
231,Carbon Robotics," Dan Corkum, Rosanna Myers",15-Jul-14,2020," Computer Vision, Consumer Electronics, Hardware, Robotics","$3,360,354"," San Francisco, California, United States",11-50,Carbon Robotics makes advanced robotics dramatically more accessible to help solve some of society's most intractable problems.,https://www.crunchbase.com/organization/katia,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1425940829/wsdtbnq4oibuizzyviqf.png"
232,NovuHealth,Tom Wicka,2010,," Health Care, Medical, Wellness","$20,000,000"," Minneapolis, Minnesota, United States",101-250,NovuHealth is the leading healthcare consumer engagement company.,https://www.crunchbase.com/organization/novu-llc,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/jfateszynxbtloqjr8ke"
233,DyaMX," John Deedrick, Michael Brenzel, Paul Hindrichs",2017,2020," Health Care, Medical Device, Therapeutics","$24,996,355"," Plymouth, Minnesota, United States",10-Jan,DyaMX is developing therapies for GI and metabolic disease processes.,https://www.crunchbase.com/organization/dyamx,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/jc1yck0lh36no57sjchp"
234,IntelleGrow,,2010,," Banking, Finance, Financial Services, Insurance, Lending","$26,440,000"," Mumbai, Maharashtra, India",11-50,IntelleGrow provides debt finance and skills support to small and growing businesses in India.,https://www.crunchbase.com/organization/intellegrow,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1483944028/iwiw4cms1b9x8zduqqo7.png"
235,Averon," Lea Tarnowski, Wendell Brown",2015,," Cyber Security, Enterprise Software, Mobile, Ride Sharing, Security","$20,000,000"," San Francisco, California, United States",11-50,"Averon is the developer of the Direct Autonomous Authentication (DAA), the first fully automatic, secure mobile identity standard",https://www.crunchbase.com/organization/averon,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1496876955/iq1vigl88usuaobdrlhm.png"
236,BLOCKS,Serge Didenko,30-Dec-13,," Fitness, Information Technology, Software, Wearables","$2,400,000"," London, England, United Kingdom",11-50,BLOCKS is a sensor platform for industrial data collection.,https://www.crunchbase.com/organization/blocks,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1505335596/yydzzvgzio72cngstjuh.png"
237,Astound," Dan Turchin, Mohan Reddy, Naghi Prasad",2016,," Artificial Intelligence, Information Technology, Machine Learning, Service Industry, Software, Technical Support","$27,000,000"," Menlo Park, California, United States",11-50,Astound is an enterprise software company that develops an AI platform for employee service.,https://www.crunchbase.com/organization/astound-ai,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/b2z656t1x9stfdltxzsq"
238,Lix Technologies," Camilla Hessellund Lastein, Kasper Enggaard Krog",2015,," E-Learning, Education","$8,540,539"," Aarhus, Midtjylland, Denmark",11-50,Lix is the new digital way of obtaining knowledge for your education.,https://www.crunchbase.com/organization/lix-technologies,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/cmu7jfotbgpjsoczhfxf"
239,Tienda Pago," Dan Cohen, Gabriel Sternberg",01-Mar-13,2020," Consumer Goods, Financial Services, FinTech, Retail","$7,750,000"," Hallandale, Florida, United States",101-250,Digital platform that lets small retailers in emerging markets finance consumer goods and enables a mobile cashless payments.,https://www.crunchbase.com/organization/tienda-pago,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ptf2acedjx8hjthhqs53"
240,FraudScope," Dr. Mustaque Ahamad, Musheer Ahmed",2016,," Analytics, Fraud Detection, Health Care, Health Insurance","$9,414,999"," Atlanta, Georgia, United States",11-50,FraudScope aims to put more of our healthcare dollars towards patient care by reducing billing claims fraud.,https://www.crunchbase.com/organization/fraudscope,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/e1cjoo37gn1akic0sffr"
241,Cyanogen," Kirt McMaster, Koushik Dutta, Stef Kondik",2013,Jun-16," Android, iOS, Software","$115,000,000"," Menlo Park, California, United States",11-50,"a discontinued open-source operating system for mobile devices, based on the Android mobile platform",https://www.crunchbase.com/organization/cyanogen,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/daohhx22cj61cylgw5fn"
242,SupplyAI," Gurudatt Bhobe, Karthik Sridhar",21-Oct-15,31-Jan-21," Customer Service, Retail Technology, Supply Chain Management","$7,830,000"," San Francisco, California, United States",11-50,"SupplyAI is helping retailers deliver great post-sale experience to shoppers, leading to high margins &amp; higher revenue.",https://www.crunchbase.com/organization/dataculture-inc-,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ej1tsmz7agghnsgkscvk"
243,zGlue," Jawad Nasrullah, Ming Zhang, Myron Shak",2014,," Consumer Electronics, Information Technology, Internet of Things","$9,100,000"," Mountain View, California, United States",11-50,zGlue is a Silicon Valley company offering a platform and process for building custom chips on demand.,https://www.crunchbase.com/organization/zglue,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vcxd0kg8lbwmiignjcoy"
244,Novi Finance," Luis Bitencourt-Emilio, Philip Cortes, Shannon Mosier",2018,," Advice, Consulting, Finance, Financial Services, FinTech, Insurance","$3,045,000"," San Francisco, California, United States",10-Jan,Novi Finance believes in a world where everyone is both financially literate and independent.,https://www.crunchbase.com/organization/novi-finance,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/uq0pe3fs8ipdms7imsxr"
245,Signostics," Neil Bartlett, Stewart Bartlett",2005,," Biotechnology, Health Care, Medical Device","$79,000,000"," Adelaide, South Australia, Australia",11-50,"Signostics, a medical device company, provides clinicians with handheld tools for use at the point-of-care.",https://www.crunchbase.com/organization/signostics,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1438563610/mw6ykmopsoqnvcksulll.jpg"
246,BTCjam,Celso Pitta,01-Oct-13,25-May-17," Bitcoin, Blockchain, Consumer Lending, Finance, Financial Services","$9,200,000"," San Francisco, California, United States",11-50,"With $11 million dollars in loan volume and growing, BTCJam has served more than 100,000 users from over 200 countries.",https://www.crunchbase.com/organization/btcjam,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1443126507/idu1ctdw4uwwz7xoa1uy.png"
247,Elsen," Justin White, Ryan Johnson, Zac Sheffer",Jun-14,," FinTech, Hedge Funds","$6,155,000"," Boston, Massachusetts, United States",10-Jan,A platform-as-a-service company for large financial institutions that allows anyone to harness their data to solve the most complex problems,https://www.crunchbase.com/organization/elsen-trading,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1424725445/ipzeip1noka685gvl9de.png"
248,Drive,,01-Jul-13,," Car Sharing, Public Transportation, Recreational Vehicles","2,000,000"," Paris, Ile-de-France, France",11-50,Drive offers a transportation service solution that enables users to find and order rental cars via a mobile app.,https://www.crunchbase.com/organization/drive,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397193101/d0bff6db2f76a3c2a70a92a0ceb67dbc.png"
249,Ulysses," Hiroto Oka, Moroka Hiroto",2016,,Food and Beverage,"�100,000,000"," Tokyo, Tokyo, Japan",10-Jan,Ulysses is a startup based developing SaaS for the food industry.,https://www.crunchbase.com/organization/ulysses,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/eggefoxs2thyiih2gfsx"
250,Origin Wireless,Ray Liu,2013,2020," B2B, CRM, Information Technology","$33,595,428"," Greenbelt, Maryland, United States",11-50,Origin Wireless is a m2m (machine to machine) services company providing solutions to various industries and verticals.,https://www.crunchbase.com/organization/origin-wireless,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ybo5q1oljsbmgf3yidxu"
251,HelloMD,Mark Hadfield,2012,Dec-19," Cannabis, Health Care, Information Technology, Telecommunications, Video","$8,480,775"," San Francisco, California, United States",10-Jan,HelloMD is a digital healthcare platform for medical cannabis doctor consultations.,https://www.crunchbase.com/organization/hellomd,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397750354/278ad0fa08eed3c7ea0403601379c326.png"
252,Systum," Dean Mansfield, Toby Davidson",2015,," Analytics, Cloud Computing, CRM, Digital Marketing, SaaS, Small and Medium Businesses, Software","$18,200,000"," San Francisco, California, United States",11-50,"Systum is a provider of a cloud-based, digital operating platform for small to medium-sized businesses.",https://www.crunchbase.com/organization/systum,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/aqc4kv8nvrom23ehptnc"
253,Trace Data,James Donelan,10-May-19,," Analytics, Big Data, Cyber Security, Privacy","$5,000,000"," San Francisco, California, United States",11-50,"Data observability for a connected world. Trace Data helps companies understand, monitor and secure their data.",https://www.crunchbase.com/organization/trace-data,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/xdk72lcfubzzyjoxyrn8"
255,BabelBark," Bill Rebozo, Roy Stein",01-Mar-15,," E-Commerce, Pet, Software, Veterinary","$10,747,600"," Newton, Massachusetts, United States",10-Jan,"BabelBark is a mobile app and software platform that connects pet parents, pet vendors, and veterinarians in one ecosystem.",https://www.crunchbase.com/organization/babelbark,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1492367724/qe8ug6z9jkjsvcxte4ut.png"
256,KindHealth," Albert Pomales, Andrew Tomasik, John Constantine",2015,," Direct Sales, Employee Benefits, Financial Services, FinTech, Health Care, Health Insurance, Insurance, Medical, Sharing Economy","$10,400,000"," Austin, Texas, United States",10-Jan,The Digital Platform that simplifies Health Insurance Management.,https://www.crunchbase.com/organization/kindhealth,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/iepxqz8gbhhtm1btoncj"
257,Dvdendo," Gabriel Montoya, Matthew Meehan, Santiago Maggi",Jan-16,," Financial Services, FinTech, Mobile Apps, Personal Finance","$4,750,000"," Miami, Florida, United States",10-Jan,Dvdendo is a micro-investing app that encourages individuals to make investing a part of their daily routine.,https://www.crunchbase.com/organization/dvdendo,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1472768424/gfdxkglpghcy5kfjxv7r.jpg"
